Country,Code,Population,Rural,GNI,IncomeTop10,Imports,Exports,Military,Cell,Fertility66,Fertility16,Measles,InfMort,LifeExp,PM2.5,Diesel,CO2,EnergyUse,FossilPct,Forest94,Forest14,Deforestation,GunTotal,GunHomicide,GunSuicide,GunUnint,GunUndet,GunsPer100
Bolivia,BOL,10887882,31.089,3080,32.1,31.91302884,24.48800571,1.627932972,92.82077083,6.477,2.878,99,29.5,69.125,22.04269225,0.55,1.932419499,788.8043534,85.19586623,182.5,175.8,3.671232877,0.74,0.74,,,,2.8
Bosnia and Herzegovina,BIH,3516816,60.06,4940,,52.29264599,35.4102499,0.972796604,96.793321,3.313,1.36,83,5.2,76.911,39.27178089,0.99,6.234719162,2194.055976,77.52204497,160,160,0,,,,,,
Botswana,BWA,2250260,42.29,6760,,42.0198687,55.10971787,3.287288915,146.1602659,6.698,2.73,97,32.6,66.797,23.13720408,0.67,3.243287637,1252.679988,74.68798407,604768,579808,4.127202497,,,,,,
Brazil,BRA,207652865,14.067,8860,,12.07966389,12.49461885,1.350150575,117.5362334,5.6,1.726,96,13.5,75.509,12.65285893,0.95,2.594388285,1484.926638,59.11756425,101.8,98,3.73280943,21.2,19.99,0.45,0.18,0.59,8
British Virgin Islands,VGB,30661,53.498,,,,,,,,,,,,,,6.072833581,,,3342,3318,0.718132855,,,,,,
Brunei Darussalam,BRN,423196,22.495,32890,,37.74202405,49.57777708,3.539384639,123.6904413,6.156,1.874,98,8.5,77.203,6.429309073,0.22,22.12470124,8632.325651,99.99518847,4.2,4.2,0,,,,,,
Bulgaria,BGR,7127822,25.734,7580,,59.66520734,63.97871452,1.419315223,125.8343483,2.03,1.53,92,6.5,74.61463415,25.64668767,1.09,5.871615869,2477.655401,71.04263173,38008,38672,-1.747000631,1.71,0.34,0.97,0.23,0.1,6.2
Burkina Faso,BFA,18646433,69.312,610,,33.47223666,28.5446107,1.305175909,82.61118896,6.493,5.353,88,52.7,60.361,110.7308018,0.86,0.162018806,,,8598,11131.8,-29.4696441,,,,,,
Burundi,BDI,10524117,87.641,280,,31.91535834,6.240950905,2.207849268,50.90988631,7.218,5.697,93,48.4,57.481,46.28293462,1.14,0.044485376,,,5150,5150,0,,,,,,
Cabo Verde,CPV,539560,33.813,3040,,59.47999321,38.48138397,0.620817347,111.5642375,6.99,2.334,92,18.2,72.798,66.64177108,0.81,0.933403237,,,2.8,5.9,-110.7142857,,,,,,
Cambodia,KHM,15762370,79.055,1140,,65.66850405,61.28152493,1.847569577,126.3484045,6.813,2.56,81,26.3,68.981,26.14133409,0.8,0.437759998,416.9396606,30.68095828,14836,14316,3.504987867,,,,,,
